orderId,orderDetailId, orderDate, dueDate,itemId,description,quantity,uom,preAssignedContainerId
"249283",249283.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","CUL-CS-12","Compostable Lids for 10/12/16/20oz cups","3","CS",249283
"249261",249261.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","CUL-CS-12","Compostable Lids for 10/12/16/20oz cups","1","CS",249261
"248622",248622.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","CUL-CS-12","Compostable Lids for 10/12/16/20oz cups","66","CS",248622
"249088",249088.8,"2015-01-28 12:00:00","2015-01-28 12:00:00","CUL-CS-12","Compostable Lids for 10/12/16/20oz cups","36","CS",249088
"249087",249087.7,"2015-01-28 12:00:00","2015-01-28 12:00:00","CUL-CS-12","Compostable Lids for 10/12/16/20oz cups","48","CS",249087
"249083",249083.11,"2015-01-28 12:00:00","2015-01-28 12:00:00","CUL-CS-12","Compostable Lids for 10/12/16/20oz cups","12","CS",249083
"249135",249135.9,"2015-01-28 12:00:00","2015-01-28 12:00:00","CUL-CS-12","Compostable Lids for 10/12/16/20oz cups","1","CS",249135
"249127",249127.7,"2015-01-28 12:00:00","2015-01-28 12:00:00","CUL-CS-12","Compostable Lids for 10/12/16/20oz cups","3","CS",249127
"248181",248181.102,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U15B-P","15oz Hamburger Clamshell Unble 10/pack","1","PK",248181
"249240",249240.24,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U15B-P","15oz Hamburger Clamshell Unble 10/pack","1","PK",249240
"249276",249276.20,"2015-01-28 12:00:00","2015-01-28 12:00:00","KL-CS-6","6x6x3 PLA Clamshell","3","CS",249276
"249256",249256.7,"2015-01-28 12:00:00","2015-01-28 12:00:00","KL-CS-6","6x6x3 PLA Clamshell","18","CS",249256
"249083",249083.13.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","KL-CS-6","6x6x3 PLA Clamshell","6","CS",249083
"249083",249083.13,"2015-01-28 12:00:00","2015-01-28 12:00:00","KL-CS-6","6x6x3 PLA Clamshell","2","CS",249083
"248181",248181.9,"2015-01-28 12:00:00","2015-01-28 12:00:00","BO-SC-U6-P","6oz Unbleached Bowl - Pack","1","PK",248181
"249284",249284.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","BO-SC-U6-P","6oz Unbleached Bowl - Pack","4","PK",249284
"248181",248181.24,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-3-P","3 oz. Tasting Cups 20/packs","1","PK",248181
"248181",248181.45,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-12-K-P","12 oz Hot Paper cup - green stripe","1","PK",248181
"249240",249240.6,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-12-K-P","12 oz Hot Paper cup - green stripe","1","PK",249240
"249276",249276.21,"2015-01-28 12:00:00","2015-01-28 12:00:00","KL-CS-7","6.75x6.75x3 Hinged Clamshell - Corn","6","CS",249276
"249271",249271.3.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","KL-CS-7","6.75x6.75x3 Hinged Clamshell - Corn","8","CS",249271
"249271",249271.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","KL-CS-7","6.75x6.75x3 Hinged Clamshell - Corn","4","CS",249271
"248181",248181.111,"2015-01-28 12:00:00","2015-01-28 12:00:00","TR-SC-UAR-P","Unbleached 6.5x5 bagasse trays - in pack","1","PK",248181
"248181",248181.114,"2015-01-28 12:00:00","2015-01-28 12:00:00","TR-SC-UT-P","3 Compt Tray Unbleached sugar cane 4/pck","1","PK",248181
"248181",248181.18,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-14-P","14 oz Clear Cup Corn Compostable","1","PK",248181
"248181",248181.112,"2015-01-28 12:00:00","2015-01-28 12:00:00","TR-SC-UF-P","5Compt Unbleaced WSF Tray - 100 pieces","1","PK",248181
"249286",249286.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","TR-SC-UAR","Unbleached 6.5x5 bagasse trays","1","CS",249286
"249266",249266.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","DC-CS-16","16 oz Clear Round Deli Container","1","CS",249266
"249241",249241.4.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","DCL-CS-12","Clear Flat Lid 12/16oz Deli Container","16","CS",249241
"249241",249241.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","DCL-CS-12","Clear Flat Lid 12/16oz Deli Container","9","CS",249241
"249276",249276.10.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-7","7 oz Clear Cup","3","CS",249276
"249276",249276.10,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-7","7 oz Clear Cup","2","CS",249276
"249255",249255.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-7","7 oz Clear Cup","1","CS",249255
"249285",249285.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-10","10 oz Clear Cup","1","CS",249285
"249276",249276.5,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-10","10 oz Clear Cup","4","CS",249276
"249281",249281.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-16","16 oz Clear Cup","5","CS",249281
"249276",249276.6,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-16","16 oz Clear Cup","5","CS",249276
"249270",249270.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-16","16 oz Clear Cup","1","CS",249270
"249087",249087.3.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-16","16 oz Clear Cup","19","CS",249087
"249087",249087.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-16","16 oz Clear Cup","5","CS",249087
"249083",249083.5,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-16","16 oz Clear Cup","3","CS",249083
"249135",249135.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-16","16 oz Clear Cup","1","CS",249135
"249281",249281.6,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-12","Clear Flat Lid 10/12/16/20/24oz Cup","10","CS",249281
"249083",249083.6,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-12","Clear Flat Lid 10/12/16/20/24oz Cup","5","CS",249083
